geo_value,time_value,value,disease,week,date
sc,202443,8.0,Flu,202443,2024-10-26
sd,202443,2.0,Flu,202443,2024-10-26
tn,202443,31.0,Flu,202443,2024-10-26
tx,202443,63.0,Flu,202443,2024-10-26
ut,202443,5.0,Flu,202443,2024-10-26
va,202443,10.0,Flu,202443,2024-10-26
vi,202443,0.0,Flu,202443,2024-10-26
vt,202443,0.0,Flu,202443,2024-10-26
wa,202443,4.0,Flu,202443,2024-10-26
wi,202443,7.0,Flu,202443,2024-10-26
wv,202443,0.0,Flu,202443,2024-10-26
wy,202443,7.0,Flu,202443,2024-10-26
ak,202444,8.0,Flu,202444,2024-11-02
al,202444,13.0,Flu,202444,2024-11-02
ar,202444,6.0,Flu,202444,2024-11-02
as,202444,6.0,Flu,202444,2024-11-02
az,202444,141.0,Flu,202444,2024-11-02
ca,202444,112.0,Flu,202444,2024-11-02
co,202444,25.0,Flu,202444,2024-11-02
ct,202444,10.0,Flu,202444,2024-11-02
dc,202444,1.0,Flu,202444,2024-11-02
de,202444,0.0,Flu,202444,2024-11-02
fl,202444,114.0,Flu,202444,2024-11-02
ga,202444,14.0,Flu,202444,2024-11-02
gu,202444,1.0,Flu,202444,2024-11-02
hi,202444,3.0,Flu,202444,2024-11-02
ia,202444,5.0,Flu,202444,2024-11-02
id,202444,6.0,Flu,202444,2024-11-02
il,202444,27.0,Flu,202444,2024-11-02
in,202444,14.0,Flu,202444,2024-11-02
ks,202444,10.0,Flu,202444,2024-11-02
ky,202444,7.0,Flu,202444,2024-11-02
la,202444,27.0,Flu,202444,2024-11-02
ma,202444,3.0,Flu,202444,2024-11-02
md,202444,4.0,Flu,202444,2024-11-02
me,202444,0.0,Flu,202444,2024-11-02
mi,202444,21.0,Flu,202444,2024-11-02
mn,202444,4.0,Flu,202444,2024-11-02
mo,202444,13.0,Flu,202444,2024-11-02
mp,202444,,Flu,202444,2024-11-02
ms,202444,15.0,Flu,202444,2024-11-02
mt,202444,0.0,Flu,202444,2024-11-02
nc,202444,14.0,Flu,202444,2024-11-02
nd,202444,1.0,Flu,202444,2024-11-02
ne,202444,2.0,Flu,202444,2024-11-02
nh,202444,1.0,Flu,202444,2024-11-02
nj,202444,28.0,Flu,202444,2024-11-02
nm,202444,2.0,Flu,202444,2024-11-02
nv,202444,11.0,Flu,202444,2024-11-02
ny,202444,15.0,Flu,202444,2024-11-02
oh,202444,17.0,Flu,202444,2024-11-02
ok,202444,3.0,Flu,202444,2024-11-02
or,202444,7.0,Flu,202444,2024-11-02
pa,202444,104.0,Flu,202444,2024-11-02
pr,202444,15.0,Flu,202444,2024-11-02
ri,202444,2.0,Flu,202444,2024-11-02
sc,202444,11.0,Flu,202444,2024-11-02
sd,202444,0.0,Flu,202444,2024-11-02
tn,202444,45.0,Flu,202444,2024-11-02
tx,202444,103.0,Flu,202444,2024-11-02
ut,202444,2.0,Flu,202444,2024-11-02
va,202444,16.0,Flu,202444,2024-11-02
vi,202444,0.0,Flu,202444,2024-11-02
vt,202444,0.0,Flu,202444,2024-11-02
wa,202444,2.0,Flu,202444,2024-11-02
wi,202444,5.0,Flu,202444,2024-11-02
wv,202444,0.0,Flu,202444,2024-11-02
wy,202444,0.0,Flu,202444,2024-11-02
ak,202445,6.0,Flu,202445,2024-11-09
al,202445,32.0,Flu,202445,2024-11-09
ar,202445,11.0,Flu,202445,2024-11-09
as,202445,,Flu,202445,2024-11-09
az,202445,272.0,Flu,202445,2024-11-09
ca,202445,177.0,Flu,202445,2024-11-09
co,202445,20.0,Flu,202445,2024-11-09
ct,202445,4.0,Flu,202445,2024-11-09
dc,202445,2.0,Flu,202445,2024-11-09
de,202445,1.0,Flu,202445,2024-11-09
fl,202445,365.0,Flu,202445,2024-11-09
ga,202445,42.0,Flu,202445,2024-11-09
gu,202445,3.0,Flu,202445,2024-11-09
hi,202445,7.0,Flu,202445,2024-11-09
ia,202445,4.0,Flu,202445,2024-11-09
id,202445,8.0,Flu,202445,2024-11-09
il,202445,36.0,Flu,202445,2024-11-09
in,202445,28.0,Flu,202445,2024-11-09
ks,202445,7.0,Flu,202445,2024-11-09
ky,202445,16.0,Flu,202445,2024-11-09
la,202445,87.0,Flu,202445,2024-11-09
ma,202445,39.0,Flu,202445,2024-11-09
md,202445,9.0,Flu,202445,2024-11-09
me,202445,1.0,Flu,202445,2024-11-09
mi,202445,48.0,Flu,202445,2024-11-09
mn,202445,18.0,Flu,202445,2024-11-09
mo,202445,30.0,Flu,202445,2024-11-09
mp,202445,,Flu,202445,2024-11-09
ms,202445,23.0,Flu,202445,2024-11-09
mt,202445,0.0,Flu,202445,2024-11-09
nc,202445,27.0,Flu,202445,2024-11-09
nd,202445,0.0,Flu,202445,2024-11-09
ne,202445,4.0,Flu,202445,2024-11-09
nh,202445,5.0,Flu,202445,2024-11-09
nj,202445,30.0,Flu,202445,2024-11-09
nm,202445,16.0,Flu,202445,2024-11-09
nv,202445,25.0,Flu,202445,2024-11-09
ny,202445,55.0,Flu,202445,2024-11-09
oh,202445,24.0,Flu,202445,2024-11-09
ok,202445,13.0,Flu,202445,2024-11-09
or,202445,25.0,Flu,202445,2024-11-09
pa,202445,142.0,Flu,202445,2024-11-09
pr,202445,137.0,Flu,202445,2024-11-09
ri,202445,3.0,Flu,202445,2024-11-09
sc,202445,21.0,Flu,202445,2024-11-09
sd,202445,2.0,Flu,202445,2024-11-09
tn,202445,96.0,Flu,202445,2024-11-09
tx,202445,185.0,Flu,202445,2024-11-09
ut,202445,7.0,Flu,202445,2024-11-09
va,202445,26.0,Flu,202445,2024-11-09
vi,202445,0.0,Flu,202445,2024-11-09
vt,202445,0.0,Flu,202445,2024-11-09
wa,202445,14.0,Flu,202445,2024-11-09
wi,202445,12.0,Flu,202445,2024-11-09
wv,202445,6.0,Flu,202445,2024-11-09
wy,202445,5.0,Flu,202445,2024-11-09
ak,202446,9.0,Flu,202446,2024-11-16
al,202446,44.0,Flu,202446,2024-11-16
ar,202446,13.0,Flu,202446,2024-11-16
as,202446,,Flu,202446,2024-11-16
az,202446,356.0,Flu,202446,2024-11-16
ca,202446,323.0,Flu,202446,2024-11-16
co,202446,29.0,Flu,202446,2024-11-16
ct,202446,5.0,Flu,202446,2024-11-16
dc,202446,1.0,Flu,202446,2024-11-16
de,202446,4.0,Flu,202446,2024-11-16
fl,202446,386.0,Flu,202446,2024-11-16
ga,202446,44.0,Flu,202446,2024-11-16
gu,202446,3.0,Flu,202446,2024-11-16
hi,202446,15.0,Flu,202446,2024-11-16
ia,202446,5.0,Flu,202446,2024-11-16
id,202446,12.0,Flu,202446,2024-11-16
il,202446,34.0,Flu,202446,2024-11-16
in,202446,26.0,Flu,202446,2024-11-16
ks,202446,11.0,Flu,202446,2024-11-16
ky,202446,18.0,Flu,202446,2024-11-16
la,202446,84.0,Flu,202446,2024-11-16
ma,202446,16.0,Flu,202446,2024-11-16
md,202446,11.0,Flu,202446,2024-11-16
me,202446,0.0,Flu,202446,2024-11-16
mi,202446,46.0,Flu,202446,2024-11-16
mn,202446,8.0,Flu,202446,2024-11-16
mo,202446,29.0,Flu,202446,2024-11-16
mp,202446,,Flu,202446,2024-11-16
ms,202446,24.0,Flu,202446,2024-11-16
mt,202446,4.0,Flu,202446,2024-11-16
nc,202446,38.0,Flu,202446,2024-11-16
nd,202446,1.0,Flu,202446,2024-11-16
ne,202446,6.0,Flu,202446,2024-11-16
nh,202446,6.0,Flu,202446,2024-11-16
nj,202446,37.0,Flu,202446,2024-11-16
nm,202446,21.0,Flu,202446,2024-11-16
nv,202446,43.0,Flu,202446,2024-11-16
ny,202446,63.0,Flu,202446,2024-11-16
oh,202446,40.0,Flu,202446,2024-11-16
ok,202446,13.0,Flu,202446,2024-11-16
or,202446,36.0,Flu,202446,2024-11-16
pa,202446,111.0,Flu,202446,2024-11-16
pr,202446,228.0,Flu,202446,2024-11-16
ri,202446,0.0,Flu,202446,2024-11-16
sc,202446,13.0,Flu,202446,2024-11-16
sd,202446,0.0,Flu,202446,2024-11-16
tn,202446,94.0,Flu,202446,2024-11-16
tx,202446,227.0,Flu,202446,2024-11-16
ut,202446,10.0,Flu,202446,2024-11-16
va,202446,26.0,Flu,202446,2024-11-16
vi,202446,0.0,Flu,202446,2024-11-16
vt,202446,3.0,Flu,202446,2024-11-16
wa,202446,22.0,Flu,202446,2024-11-16
wi,202446,6.0,Flu,202446,2024-11-16
wv,202446,4.0,Flu,202446,2024-11-16
wy,202446,4.0,Flu,202446,2024-11-16
ak,202447,7.0,Flu,202447,2024-11-23
al,202447,50.0,Flu,202447,2024-11-23
ar,202447,8.0,Flu,202447,2024-11-23
as,202447,2.0,Flu,202447,2024-11-23
az,202447,488.0,Flu,202447,2024-11-23
ca,202447,526.0,Flu,202447,2024-11-23
co,202447,31.0,Flu,202447,2024-11-23
ct,202447,4.0,Flu,202447,2024-11-23
dc,202447,8.0,Flu,202447,2024-11-23
de,202447,7.0,Flu,202447,2024-11-23
fl,202447,443.0,Flu,202447,2024-11-23
ga,202447,48.0,Flu,202447,2024-11-23
gu,202447,1.0,Flu,202447,2024-11-23
hi,202447,8.0,Flu,202447,2024-11-23
ia,202447,5.0,Flu,202447,2024-11-23
id,202447,32.0,Flu,202447,2024-11-23
il,202447,86.0,Flu,202447,2024-11-23
in,202447,32.0,Flu,202447,2024-11-23
ks,202447,17.0,Flu,202447,2024-11-23
ky,202447,20.0,Flu,202447,2024-11-23
la,202447,78.0,Flu,202447,2024-11-23
ma,202447,50.0,Flu,202447,2024-11-23
md,202447,16.0,Flu,202447,2024-11-23
me,202447,0.0,Flu,202447,2024-11-23
mi,202447,67.0,Flu,202447,2024-11-23
mn,202447,11.0,Flu,202447,2024-11-23
mo,202447,42.0,Flu,202447,2024-11-23
mp,202447,,Flu,202447,2024-11-23
ms,202447,36.0,Flu,202447,2024-11-23
mt,202447,1.0,Flu,202447,2024-11-23
nc,202447,31.0,Flu,202447,2024-11-23
nd,202447,3.0,Flu,202447,2024-11-23
ne,202447,5.0,Flu,202447,2024-11-23
nh,202447,11.0,Flu,202447,2024-11-23
nj,202447,47.0,Flu,202447,2024-11-23
nm,202447,29.0,Flu,202447,2024-11-23
nv,202447,49.0,Flu,202447,2024-11-23
ny,202447,103.0,Flu,202447,2024-11-23
oh,202447,40.0,Flu,202447,2024-11-23
ok,202447,14.0,Flu,202447,2024-11-23
or,202447,63.0,Flu,202447,2024-11-23
pa,202447,134.0,Flu,202447,2024-11-23
pr,202447,160.0,Flu,202447,2024-11-23
ri,202447,2.0,Flu,202447,2024-11-23
sc,202447,13.0,Flu,202447,2024-11-23
sd,202447,0.0,Flu,202447,2024-11-23
tn,202447,59.0,Flu,202447,2024-11-23
tx,202447,276.0,Flu,202447,2024-11-23
ut,202447,20.0,Flu,202447,2024-11-23
va,202447,35.0,Flu,202447,2024-11-23
vi,202447,0.0,Flu,202447,2024-11-23
vt,202447,0.0,Flu,202447,2024-11-23
wa,202447,29.0,Flu,202447,2024-11-23
wi,202447,18.0,Flu,202447,2024-11-23
wv,202447,4.0,Flu,202447,2024-11-23
wy,202447,9.0,Flu,202447,2024-11-23
ak,202448,10.0,Flu,202448,2024-11-30
al,202448,65.0,Flu,202448,2024-11-30
ar,202448,12.0,Flu,202448,2024-11-30
as,202448,2.0,Flu,202448,2024-11-30
az,202448,558.0,Flu,202448,2024-11-30
ca,202448,708.0,Flu,202448,2024-11-30
co,202448,67.0,Flu,202448,2024-11-30
ct,202448,11.0,Flu,202448,2024-11-30
dc,202448,5.0,Flu,202448,2024-11-30
de,202448,5.0,Flu,202448,2024-11-30
fl,202448,612.0,Flu,202448,2024-11-30
ga,202448,56.0,Flu,202448,2024-11-30
gu,202448,2.0,Flu,202448,2024-11-30
hi,202448,14.0,Flu,202448,2024-11-30
ia,202448,4.0,Flu,202448,2024-11-30
id,202448,63.0,Flu,202448,2024-11-30
il,202448,83.0,Flu,202448,2024-11-30
in,202448,41.0,Flu,202448,2024-11-30
ks,202448,20.0,Flu,202448,2024-11-30
ky,202448,24.0,Flu,202448,2024-11-30
la,202448,135.0,Flu,202448,2024-11-30
ma,202448,72.0,Flu,202448,2024-11-30
md,202448,21.0,Flu,202448,2024-11-30
me,202448,2.0,Flu,202448,2024-11-30
mi,202448,65.0,Flu,202448,2024-11-30
mn,202448,18.0,Flu,202448,2024-11-30
mo,202448,41.0,Flu,202448,2024-11-30
mp,202448,,Flu,202448,2024-11-30
ms,202448,28.0,Flu,202448,2024-11-30
mt,202448,2.0,Flu,202448,2024-11-30
nc,202448,43.0,Flu,202448,2024-11-30
nd,202448,1.0,Flu,202448,2024-11-30
ne,202448,11.0,Flu,202448,2024-11-30
nh,202448,14.0,Flu,202448,2024-11-30
nj,202448,67.0,Flu,202448,2024-11-30
nm,202448,55.0,Flu,202448,2024-11-30
nv,202448,61.0,Flu,202448,2024-11-30
ny,202448,145.0,Flu,202448,2024-11-30
oh,202448,55.0,Flu,202448,2024-11-30
ok,202448,40.0,Flu,202448,2024-11-30
or,202448,83.0,Flu,202448,2024-11-30
pa,202448,116.0,Flu,202448,2024-11-30
pr,202448,368.0,Flu,202448,2024-11-30
ri,202448,6.0,Flu,202448,2024-11-30
sc,202448,18.0,Flu,202448,2024-11-30
sd,202448,5.0,Flu,202448,2024-11-30
tn,202448,60.0,Flu,202448,2024-11-30
tx,202448,405.0,Flu,202448,2024-11-30
ut,202448,20.0,Flu,202448,2024-11-30
va,202448,46.0,Flu,202448,2024-11-30
vi,202448,0.0,Flu,202448,2024-11-30
vt,202448,3.0,Flu,202448,2024-11-30
wa,202448,46.0,Flu,202448,2024-11-30
wi,202448,12.0,Flu,202448,2024-11-30
wv,202448,3.0,Flu,202448,2024-11-30
wy,202448,7.0,Flu,202448,2024-11-30
ak,202449,18.0,Flu,202449,2024-12-07
al,202449,102.0,Flu,202449,2024-12-07
ar,202449,32.0,Flu,202449,2024-12-07
as,202449,0.0,Flu,202449,2024-12-07
az,202449,882.0,Flu,202449,2024-12-07
ca,202449,1127.0,Flu,202449,2024-12-07
co,202449,90.0,Flu,202449,2024-12-07
ct,202449,13.0,Flu,202449,2024-12-07
dc,202449,2.0,Flu,202449,2024-12-07
de,202449,15.0,Flu,202449,2024-12-07
fl,202449,714.0,Flu,202449,2024-12-07
ga,202449,88.0,Flu,202449,2024-12-07
gu,202449,0.0,Flu,202449,2024-12-07
hi,202449,20.0,Flu,202449,2024-12-07
ia,202449,13.0,Flu,202449,2024-12-07
id,202449,78.0,Flu,202449,2024-12-07
il,202449,107.0,Flu,202449,2024-12-07
in,202449,65.0,Flu,202449,2024-12-07
ks,202449,36.0,Flu,202449,2024-12-07
ky,202449,53.0,Flu,202449,2024-12-07
la,202449,163.0,Flu,202449,2024-12-07
ma,202449,95.0,Flu,202449,2024-12-07
md,202449,37.0,Flu,202449,2024-12-07
me,202449,2.0,Flu,202449,2024-12-07
mi,202449,92.0,Flu,202449,2024-12-07
mn,202449,40.0,Flu,202449,2024-12-07
mo,202449,54.0,Flu,202449,2024-12-07
mp,202449,,Flu,202449,2024-12-07
ms,202449,39.0,Flu,202449,2024-12-07
mt,202449,2.0,Flu,202449,2024-12-07
nc,202449,65.0,Flu,202449,2024-12-07
nd,202449,2.0,Flu,202449,2024-12-07
ne,202449,13.0,Flu,202449,2024-12-07
nh,202449,16.0,Flu,202449,2024-12-07
nj,202449,109.0,Flu,202449,2024-12-07
nm,202449,103.0,Flu,202449,2024-12-07
nv,202449,83.0,Flu,202449,2024-12-07
ny,202449,275.0,Flu,202449,2024-12-07
oh,202449,93.0,Flu,202449,2024-12-07
ok,202449,40.0,Flu,202449,2024-12-07
or,202449,119.0,Flu,202449,2024-12-07
pa,202449,208.0,Flu,202449,2024-12-07
pr,202449,457.0,Flu,202449,2024-12-07
ri,202449,10.0,Flu,202449,2024-12-07
sc,202449,40.0,Flu,202449,2024-12-07
sd,202449,1.0,Flu,202449,2024-12-07
tn,202449,115.0,Flu,202449,2024-12-07
tx,202449,530.0,Flu,202449,2024-12-07
ut,202449,64.0,Flu,202449,2024-12-07
va,202449,69.0,Flu,202449,2024-12-07
vi,202449,0.0,Flu,202449,2024-12-07
vt,202449,0.0,Flu,202449,2024-12-07
wa,202449,78.0,Flu,202449,2024-12-07
wi,202449,27.0,Flu,202449,2024-12-07
wv,202449,13.0,Flu,202449,2024-12-07
wy,202449,5.0,Flu,202449,2024-12-07
ak,202450,27.0,Flu,202450,2024-12-14
al,202450,193.0,Flu,202450,2024-12-14
ar,202450,42.0,Flu,202450,2024-12-14
as,202450,3.0,Flu,202450,2024-12-14
az,202450,1023.0,Flu,202450,2024-12-14
ca,202450,1521.0,Flu,202450,2024-12-14
co,202450,129.0,Flu,202450,2024-12-14
ct,202450,24.0,Flu,202450,2024-12-14
dc,202450,4.0,Flu,202450,2024-12-14
de,202450,15.0,Flu,202450,2024-12-14
fl,202450,891.0,Flu,202450,2024-12-14
ga,202450,215.0,Flu,202450,2024-12-14
gu,202450,3.0,Flu,202450,2024-12-14
hi,202450,34.0,Flu,202450,2024-12-14
ia,202450,23.0,Flu,202450,2024-12-14
id,202450,110.0,Flu,202450,2024-12-14
il,202450,242.0,Flu,202450,2024-12-14
